,Tag_name,sumCompare,sumMonth
0,CROND,0.0,0.0
1,MPI-job,0.0,
2,PPM2F.exe,4.75,
3,Roux,3.0,
4,anacron,0.0,0.0
5,auditd,0.0,0.0
6,automount,6.142857142857142,6.0
7,avahi-daemon,0.0,1.0
8,cactus_sim,1.0,
9,chronyd,0.0,0.0
10,crond,587.8208395802098,588.8416801292407
11,crontab,0.0,0.0
12,dbus,0.0,0.0
13,dbus-daemon,0.0,0.0
14,dhclient,0.0,0.0
15,dhcp-all-interfaces.sh,0.0,0.0
16,gmx_mpi,3.0,
17,hp-asrd.sh,0.0,0.0
18,hp-health.sh,0.0,0.0
19,hpasmlited,0.0,0.0
20,hpasrd,0.0,0.0
21,ifup,0.0,0.0
22,journal,0.0,0.5714285714285714
23,kdumpctl,2.2285714285714286,0.0
24,kernel,78.11354813664596,140.67953667953668
25,ldconfig,2.2285714285714286,2.0
26,logger,2.2580645161290325,3.5454545454545454
27,modulecmd,0.0287242742265231,
28,mount,3.1555555555555554,
29,network,5.454545454545454,1.0
30,nhc,21.6,13.5
31,nscd,0.0,0.012924071082390954
32,nslcd,20.572989076464747,59.03262642740619
33,ntpd,0.0,0.0
34,nwchem,7.75,
35,oddjobd,3.0,
36,opa-init-kernel,0.0,2.0
37,osu_allgather,32.0,
38,osu_allgatherv,14.0,
39,osu_bcast,52.0,
40,osu_gather,42.0,
41,osu_scatter,54.0,
42,pam_slurm,0.06596701649175413,0.0
43,pmcd,0.0,0.0
44,pmlogger,0.0,0.0
45,pmlogger_daily,0.0,0.0
46,polkitd,0.0,0.0
47,puppet-agent,170.41539457543954,1267.1809369951536
48,rhnsd,0.0,
49,root,2.0,2.516962843295638
50,rsyslogd,1.0389610389610389,1.0288461538461537
51,run-parts(,0.0,0.0
52,sendmail,3.6790123456790123,0.0
53,slurmd-epilog,1.3424447991487098,3.843612334801762
54,slurmd-prolog,0.9759909550412343,3.2273730684326707
55,sm-msp-queue,0.0,0.0
56,sm-notify,0.0,0.0
57,smartd,0.0,0.0
58,sshd,0.006746626686656671,0.11954765751211632
59,su,0.0,0.0
60,sudo,2.6666666666666665,2.0
61,systemd,103.13445549952296,50.82714054927302
62,systemd-logind,0.0,0.0
63,umount,0.2,
64,vasp_std,84.0,
65,vasp_std_544,28.0,
66,wrf.exe-dmpar-3.3.1-4.1.3-g,9.0,
67,xinetd,0.0,0.0
68,yum,0.0,0.3333333333333333
69,NET,,0.0
70,Singularity,,0.0
71,audispd,,0.0
72,augenrules,,0.0
73,ideal.exe-dmpar-2018-3.3.1-pnetc,,3.0
74,iscsid,,0.0
75,modprobe,,0.0
76,pmcopy_daily,,0.0
77,puppet,,5.25
78,rdma-ndd,,0.0
79,rpc.statd,,0.0
80,rpcbind,,0.0
81,rsyslogd-2307,,0.0
82,slurm_unkillable_step,,0.0
83,slurmd-epilog-rm_localdir.sh,,0.0
84,slurmd-prolog-drop_cache.sh,,0.0
85,slurmd-prolog-rm_localdir.sh,,0.0
86,systemd-fsck,,0.0
87,systemd-journald,,0.0
88,systemd-modules-load,,0.0
89,systemd-udevd,,0.0
