,Tag_name,sumCompare,sumMonth
0,CROND,0.0,0.0
1,MPI-job,0.0,
2,NET,0.0,0.0
3,PPM2F.exe,4.75,
4,Roux,3.0,
5,Singularity,0.0,0.0
6,anacron,0.0,0.0
7,audispd,0.0,0.0
8,auditd,0.0,0.0
9,augenrules,0.0,0.0
10,automount,6.095238095238095,6.0
11,avahi-daemon,0.5,1.0
12,cactus_sim,1.0,
13,chronyd,0.0,0.0
14,crond,588.270839822415,584.1696428571428
15,crontab,0.0,0.0
16,dbus,0.0,
17,dbus-daemon,0.0,
18,dhclient,0.0,0.0
19,dhcp-all-interfaces.sh,0.0,0.0
20,gmx_mpi,3.0,
21,hp-asrd.sh,0.0,0.0
22,hp-health.sh,0.0,0.0
23,hpasmlited,0.0,0.0
24,hpasrd,0.0,0.0
25,ideal.exe-dmpar-2018-3.3.1-pnetc,3.0,
26,ifup,0.0,0.0
27,iscsid,0.0,0.0
28,journal,0.2857142857142857,0.14285714285714285
29,kdumpctl,1.1142857142857143,0.0
30,kernel,89.18499157154048,7.149674620390455
31,ldconfig,2.1142857142857143,2.0
32,logger,2.901759530791789,0.0
33,modprobe,0.0,0.0
34,modulecmd,0.0287242742265231,0.010714285714285714
35,mount,3.1555555555555554,
36,network,3.227272727272727,1.0
37,nhc,17.549999999999997,18.0
38,nscd,0.0032310177705977385,0.0035842293906810036
39,nslcd,41.49465114508392,66.13919413919415
40,ntpd,0.0,0.0
41,nwchem,7.75,
42,oddjobd,3.0,
43,opa-init-kernel,1.0,2.0
44,osu_allgather,32.0,
45,osu_allgatherv,14.0,
46,osu_bcast,52.0,
47,osu_gather,42.0,
48,osu_scatter,54.0,
49,pam_slurm,0.03298350824587706,9.57857142857143
50,pmcd,0.0,0.0
51,pmcopy_daily,0.0,0.0
52,pmlogger,0.0,0.0
53,pmlogger_daily,0.0,0.0
54,polkitd,0.0,0.0
55,puppet,5.25,3.0
56,puppet-agent,402.02793153650816,10.446428571428573
57,rdma-ndd,0.0,0.0
58,rhnsd,0.0,
59,root,2.1292407108239093,2.0
60,rpc.statd,0.0,0.0
61,rpcbind,0.0,0.0
62,rsyslogd,1.0339035964035963,1.0128205128205128
63,rsyslogd-2307,0.0,0.0
64,run-parts(,0.0,0.0
65,sendmail,1.8395061728395061,0.0
66,slurm_unkillable_step,0.0,0.0
67,slurmd-epilog,3.057125483274795,7.056521739130436
68,slurmd-epilog-rm_localdir.sh,0.0,
69,slurmd-prolog,2.7198387446287846,6.725055432372505
70,slurmd-prolog-drop_cache.sh,0.0,0.0
71,slurmd-prolog-rm_localdir.sh,0.0,
72,sm-msp-queue,0.0,0.0
73,sm-notify,0.0,0.0
74,smartd,0.0,0.0
75,sshd,0.058260227721357416,0.08571428571428572
76,su,0.0,0.0
77,sudo,2.333333333333333,
78,systemd,76.77401288707972,39.60000000000001
79,systemd-fsck,0.0,0.0
80,systemd-journald,0.0,0.0
81,systemd-logind,0.0,0.0
82,systemd-modules-load,0.0,0.0
83,systemd-udevd,0.0,0.0
84,umount,0.2,0.0
85,vasp_std,84.0,56.0
86,vasp_std_544,28.0,
87,wrf.exe-dmpar-3.3.1-4.1.3-g,9.0,
88,xinetd,0.0,0.0
89,yum,0.1111111111111111,0.25
90,intelremotemond,,1.0
91,namd2,,3.0
92,useradd,,0.0
93,usermod,,0.0
